"ReportingAreaName","ReportingAreaState","ReportingAreaID","ReportingAreaLat","ReportingAreaLong","SiteID","SiteName","SiteAgencyName","SiteLat","SiteLong"
"Davis","CA","ca120",38.5448,-121.7411,"061130004","Davis - UCD Campus","Yolo-Solano AQMD",38.53455,-121.7734
"Dayton","WA","wa051",46.318,-117.985,"530130002","Dayton-W Main","Washington Department of Ecology",46.318,-117.985
"Dayton","OH","oh004",39.7591,-84.1913,"391130037","Eastwood","Regional Air Pollution Control Agency - Dayton",39.78563,-84.13437
"Dayton","OH","oh004",39.7591,-84.1913,"391090005","Miami East HS","Regional Air Pollution Control Agency - Dayton",40.08455,-84.11412
"Dayton","OH","oh004",39.7591,-84.1913,"390230003","Mud Run","Regional Air Pollution Control Agency - Dayton",39.85567,-83.99773
"Dayton","OH","oh004",39.7591,-84.1913,"391351001","Preble NCore","Regional Air Pollution Control Agency - Dayton",39.83562,-84.72049
"Dayton","OH","oh004",39.7591,-84.1913,"391130038","Sinclair","Regional Air Pollution Control Agency - Dayton",39.758235,-84.197375
"Dayton","OH","oh004",39.7591,-84.1913,"390230005","Springfield Fire St1","Regional Air Pollution Control Agency - Dayton",39.92882,-83.80949
"Dayton","OH","oh004",39.7591,-84.1913,"390230001","Springfield Well Fd","Regional Air Pollution Control Agency - Dayton",40.00103,-83.80456
"Dayton","WA","wa051",46.318,-117.985,"840530139991","Umatilla","Washington Department of Ecology",46.2026,-117.9539
"Dayton","OH","oh004",39.7591,-84.1913,"390570006","Xenia","Regional Air Pollution Control Agency - Dayton",39.66575,-83.94285
"Daytona Beach","FL","fl013",29.2072,-81.0378,"121275002","Blind Services; 1185-A Dunn Ave","Florida Dept. of Environmental Protection",29.2069,-81.0531
"Daytona Beach","FL","fl013",29.2072,-81.0378,"120350004","Flagler County","Florida Dept. of Environmental Protection",29.489082,-81.276833
"Death Valley","CA","ca275",36.2637,-116.8412,"060270101","Death Valley NP","Great Basin Unified Air Pollution Control District",36.5092,-116.8481
"Death Valley National Park","CA","ca195",36.5092,-116.8481,"060270101","Death Valley NP","National Park Service",36.5092,-116.8481
"Decatur","IL","il014",39.8529,-88.9369,"171150013","DECATUR","Illinois EPA",39.8669,-88.9256
"Decatur","AL","al008",34.5286,-86.9706,"011030011","DECATUR","Alabama Department of Environmental Management",34.5286,-86.9706
"Delaware Water Gap","NJ","nj034",40.991,-74.939,"340410007","Columbia","New Jersey Dept. of Environmental Protection",40.924606,-75.067825
"Deming","NM","nm007",32.2558,-107.7227,"350290003","7E Deming Airport","New Mexico Air Quality Bureau",32.2558,-107.7228
"Denver-Boulder","CO","co001",39.9003,-105.042,"080050006","Aurora East","Colorado Department of Public Health and Environment",39.638542,-104.569061
"Denver-Boulder","CO","co001",39.9003,-105.042,"840080470003","Black Hawk","Colorado Department of Public Health and Environment",39.792512,-105.491309
"Denver-Boulder","CO","co001",39.9003,-105.042,"080131001","Boulder - CU - 2102 Athens St.","Colorado Department of Public Health and Environment",40.0128,-105.2667
"Denver-Boulder","CO","co001",39.9003,-105.042,"080130014","Boulder Reservoir","Colorado Department of Public Health and Environment",40.070007,-105.220232
"Denver-Boulder","CO","co001",39.9003,-105.042,"080350004","Chatfield Park - 11500 N. Roxborough Park Rd.","Colorado Department of Public Health and Environment",39.5339,-105.07
"Denver-Boulder","CO","co001",39.9003,-105.042,"080310002","Denver - CAMP - 2105 Broadway","Colorado Department of Public Health and Environment",39.751099,-104.987198
"Denver-Boulder","CO","co001",39.9003,-105.042,"080310013","Denver - NJH - 14th Ave. & Albion St.","Colorado Department of Public Health and Environment",39.7386,-104.9394
"Denver-Boulder","CO","co001",39.9003,-105.042,"840080590014","Evergreen","Colorado Department of Public Health and Environment",39.620408,-105.33872
"Denver-Boulder","CO","co001",39.9003,-105.042,"080310028","Globeville","Colorado Department of Public Health and Environment",39.785622,-104.988469
"Denver-Boulder","CO","co001",39.9003,-105.042,"080590011","Golden - NREL - 2054 Quaker St.","Colorado Department of Public Health and Environment",39.7419,-105.1786
"Denver-Boulder","CO","co001",39.9003,-105.042,"080050002","Highland Reservoir - 8100 S. University Blvd.","Colorado Department of Public Health and Environment",39.5689,-104.9572
"Denver-Boulder","CO","co001",39.9003,-105.042,"080310027","I25 Denver","Colorado Department of Public Health and Environment",39.732144,-105.015313
"Denver-Boulder","CO","co001",39.9003,-105.042,"080310026","La Casa NCORE - 4545 Navajo St.","Colorado Department of Public Health and Environment",39.7794,-105.00523
"Denver-Boulder","CO","co001",39.9003,-105.042,"080130003","Longmont","Colorado Department of Public Health and Environment",40.164585,-105.100861
"Denver-Boulder","CO","co001",39.9003,-105.042,"080590006","Rocky Flats - N - 16600 W. Colo. Hwy. 128","Colorado Department of Public Health and Environment",39.9128,-105.1883
"Denver-Boulder","CO","co001",39.9003,-105.042,"080013001","Welby - 78th Ave. & Steele St.","Colorado Department of Public Health and Environment",39.8392,-104.9489
"Des Moines","IA","ia001",41.535,-93.66,"191530030","CARPENTER","Polk Co. Air Quality Division",41.6031,-93.643303
"Detroit","MI","mi001",42.233,-83.333,"261630001","ALLEN PARK","Michigan Department of Environment, Great Lakes, and Energy",42.2283,-83.2092
"Detroit","MI","mi001",42.233,-83.333,"261630033","DEARBORN","Michigan Department of Environment, Great Lakes, and Energy",42.3075,-83.15
"Detroit","MI","mi001",42.233,-83.333,"261630019","DETROIT - E 7 MILE","Michigan Department of Environment, Great Lakes, and Energy",42.430801,-83.000801
"Detroit","MI","mi001",42.233,-83.333,"261630015","DETROIT-SW","Michigan Department of Environment, Great Lakes, and Energy",42.3042,-83.1072
"Detroit","MI","mi001",42.233,-83.333,"261630098","DP4TH","Michigan Department of Environment, Great Lakes, and Energy",42.312158,-83.091943
"Detroit","MI","mi001",42.233,-83.333,"261630100","MILITARY PARK","Michigan Department of Environment, Great Lakes, and Energy",42.312078,-83.103469
"Detroit","MI","mi001",42.233,-83.333,"260990009","NEW HAVEN","Michigan Department of Environment, Great Lakes, and Energy",42.7314,-82.7936
"Detroit","MI","mi001",42.233,-83.333,"261630097","NMH48217","Michigan Department of Environment, Great Lakes, and Energy",42.261669,-83.157893
"Detroit","MI","mi001",42.233,-83.333,"261250001","OAK PARK","Michigan Department of Environment, Great Lakes, and Energy",42.4631,-83.183296
"Detroit","MI","mi001",42.233,-83.333,"261470005","PORT HURON","Michigan Department of Environment, Great Lakes, and Energy",42.9533,-82.4564
"Detroit","MI","mi001",42.233,-83.333,"261630099","TRINITY","Michigan Department of Environment, Great Lakes, and Energy",42.295824,-83.129431
"Detroit","MI","mi001",42.233,-83.333,"260991003","WARREN","Michigan Department of Environment, Great Lakes, and Energy",42.5467,-83.0061
"Detroit","MI","mi001",42.233,-83.333,"261610008","YPSILANTI","Michigan Department of Environment, Great Lakes, and Energy",42.24,-83.5997
"Dhahran","  ","ds058",26.28,50.15,"DRN010000","Dhahran","U.S. Department of State Saudi Arabia - Dhahran",26.276861,50.147232
"Dhaka","  ","ds014",23.7964,90.4246,"DK1010001","Dhaka","U.S. Department of State Bangladesh - Dhaka",23.796374,90.424614
"Dinosaur National Monument","UT","ut016",40.4372,-109.3047,"490471002","Dinosaur National Monument","National Park Service",40.4372,-109.3047
"Dodge and Fond du Lac Counties","WI","wi007",43.5768,-88.5216,"550390006","FOND DU LAC","Wisconsin Dept. of Natural Resources",43.6878,-88.4219
"Dodge and Fond du Lac Counties","WI","wi007",43.5768,-88.5216,"550270001","Horicon Wildlife Area","Wisconsin Dept. of Natural Resources",43.46611,-88.621109
"Doha","  ","ds067",25.303,51.471,"634QA1010001","Doha","U.S. Department of State Qatar - Doha",25.3337,51.22953
"Dona Ana County","NM","nm003",31.9187,-106.633,"350130016","Anthony","New Mexico Air Quality Bureau",32.0036,-106.5992
"Dona Ana County","NM","nm003",31.9187,-106.633,"350130020","Chaparral","New Mexico Air Quality Bureau",32.0411,-106.4092
"Dona Ana County","NM","nm003",31.9187,-106.633,"350130021","Desert View","New Mexico Air Quality Bureau",31.7961,-106.5839
"Dona Ana County","NM","nm003",31.9187,-106.633,"350130008","La Union","New Mexico Air Quality Bureau",31.9306,-106.6306
"Dona Ana County","NM","nm003",31.9187,-106.633,"350130022","Santa Teresa","New Mexico Air Quality Bureau",31.7878,-106.6828
"Dona Ana County","NM","nm003",31.9187,-106.633,"350130024","West Mesa","New Mexico Air Quality Bureau",32.11,-106.51
"Door County","WI","wi015",45.2384,-86.994,"550290004","NEWPORT","Wisconsin Dept. of Natural Resources",45.2378,-86.9936
"Douglas","WY","wy004",42.76,-105.38,"560090010","Converse County Long-Term","Wyoming Department of Environmental Quality",43.1,-105.5
"Douglas","AZ","az022",31.3492,-109.5397,"040031005","Douglas Red Cross","Arizona Department of Environmental Quality",31.3492,-109.539683
"Douglas","AZ","az022",31.3492,-109.5397,"040030011","Paul Spur Chemical Lime Plant","Arizona Department of Environmental Quality",31.3658,-109.7309
"Downeast Coast","ME","me020",44.5319,-67.5959,"840230290021","Jonesport Coast Guard","Maine Dept. of Environmental Protection",44.52765,-67.6155
"Downeast Coast","ME","me020",44.5319,-67.5959,"840230290033","Sipayik","Maine Dept. of Environmental Protection",44.963459,-67.060476
"Dubai","  ","ds028",25.2585,55.3092,"DB1010001","Dubai","U.S. Department of State UAE - Dubai",25.258481,55.309165
"Duluth Area","MN","mn004",46.7137,-92.5117,"271377550","Duluth-WDSE","Minnesota Pollution Control Agency",46.8183,-92.0892
"Duluth Area","MN","mn004",46.7137,-92.5117,"270177417","Fond du Lac","Minnesota Pollution Control Agency",46.713694,-92.511722
"Duluth Area","MN","mn004",46.7137,-92.5117,"271377554","West Duluth","Minnesota Pollution Control Agency",46.743889,-92.166946
"Durham County","NC","nc041",36.0359,-78.8768,"370630015","Durham Armory","North Carolina DEQ - Division of Air Quality",36.032955,-78.904037
"Dushanbe","  ","ds059",38.56,68.78,"762DUS010001","Dushanbe","U.S. Department of State Tajikistan - Dushanbe",38.557671,68.775917
"Dyersburg","TN","tn011",36.03,-89.38,"470450004","DYERSBURG","Tennessee Air Pollution Control Div.",36.0528,-89.3819
"E San Bernardino","CA","ca168",34.0588,-117.1477,"060714003","Redlands - Dearborn","South Coast AQMD",34.059626,-117.147347
"E San Bernardino","CA","ca168",34.0588,-117.1477,"060658001","Riverside - Rubidoux","South Coast AQMD",33.999449,-117.415831
"E San Bernardino","CA","ca168",34.0588,-117.1477,"060719004","San Bernadino - 4th Street","South Coast AQMD",34.106678,-117.274063
"E San Fernando Vly","CA","ca137",34.1758,-118.3169,"840060374010","North Holywood","South Coast AQMD",34.181977,-118.363036
"E San Fernando Vly","CA","ca137",34.1758,-118.3169,"060371201","Reseda","South Coast AQMD",34.1992,-118.5331
"E San Gabriel Vly","CA","ca139",34.13,-117.89,"060370016","Glendora - Laurel","South Coast AQMD",34.1439,-117.8508
"Eagle River","AK","ak006",61.3124,-149.5678,"020201004","Parkgate (Eagle River)","State of Alaska DEC",61.3267,-149.569707
"East Central Minnesota","MN","mn021",45.6842,-93.1604,"270353204","Brainerd","Minnesota Pollution Control Agency",46.3944,-94.1433
"East Central Minnesota","MN","mn021",45.6842,-93.1604,"270953051","Mille Lacs","Minnesota Pollution Control Agency",46.2056,-93.7589
"Eastern Interior","ME","me018",45.022,-68.7723,"230190017","Bangor MSS","Maine Dept. of Environmental Protection",44.817398,-68.772762
"Eastern Interior","ME","me018",45.022,-68.7723,"230194008","Holden","Maine Dept. of Environmental Protection",44.736465,-68.671143
"Eastern Lake Ontario Region","NY","ny015",43.5263,-76.8398,"360750003","Fulton","New York Dept. of Environmental Conservation",43.284279,-76.46318
"Eastern Lake Ontario Region","NY","ny015",43.5263,-76.8398,"360450002","Perch River","New York Dept. of Environmental Conservation",44.0878,-75.9744
"Eastern Lake Ontario Region","NY","ny015",43.5263,-76.8398,"360551007","Rochester","New York Dept. of Environmental Conservation",43.1461,-77.5481
"Eastern Lake Ontario Region","NY","ny015",43.5263,-76.8398,"360550015","Rochester Near-road","New York Dept. of Environmental Conservation",43.145021,-77.557608
"Eastern Lake Ontario Region","NY","ny015",43.5263,-76.8398,"361173001","Williamson","New York Dept. of Environmental Conservation",43.2303,-77.1728
"Eastern U.P.","MI","mi010",46.3456,-85.9453,"261530001","SENEY","Michigan Department of Environment, Great Lakes, and Energy",46.2889,-85.9503
"Eau Claire County","WI","wi009",44.7625,-91.4145,"550350014","Eau Claire","Wisconsin Dept. of Natural Resources",44.761398,-91.413002
"Edgecombe County","NC","nc011",35.9382,-77.7905,"370650099","LEGGETT","North Carolina DEQ - Division of Air Quality",35.988278,-77.5843
"El Centro","CA","ca253",32.6761,-115.4833,"060251003","El Centro - 9th Street","Imperial County Air Pollution Control District",32.7917,-115.5617
"El Dorado Springs","MO","mo007",37.701,-94.0347,"290390001","El Do Springs","Missouri Department of Natural Resources",37.70097,-94.03474
"El Paso","TX","tx005",31.8493,-106.4375,"481410055","Ascarate Park Southeast C37","Texas Commission on Environmental Quality",31.7467,-106.402802
"El Paso","TX","tx005",31.8493,-106.4375,"480430101","Big Bend  NP","Texas Commission on Environmental Quality",29.3025,-103.178101
"El Paso","TX","tx005",31.8493,-106.4375,"481410044","Chamizal C41","Texas Commission on Environmental Quality",31.7656,-106.455
"El Paso","TX","tx005",31.8493,-106.4375,"481410054","El Paso Lower Valley C36","Texas Commission on Environmental Quality",31.7039,-106.3561
"El Paso","TX","tx005",31.8493,-106.4375,"481410037","El Paso UTEP C12","Texas Commission on Environmental Quality",31.768056,-106.501111
"El Paso","TX","tx005",31.8493,-106.4375,"481410029","Ivanhoe C414","Texas Commission on Environmental Quality",31.7864,-106.3242
"El Paso","TX","tx005",31.8493,-106.4375,"481411021","Ojo De Agua C1021","Texas Commission on Environmental Quality",31.862441,-106.547562
"El Paso","TX","tx005",31.8493,-106.4375,"481410058","Skyline Park C72","Texas Commission on Environmental Quality",31.893889,-106.425556
"El Paso","TX","tx005",31.8493,-106.4375,"481410057","Socorro Hueco C49","Texas Commission on Environmental Quality",31.66752,-106.28774
"Elizabethtown","KY","ky012",37.71,-85.85,"210930006","ETOWN2","Kentucky DEP",37.7064,-85.8517
"Elk Grove","CA","ca121",38.4086,-121.3733,"060670011","Elk Grove","Sacramento Metro. AQMD",38.302591,-121.420838
"Elko","NV","nv008",40.8324,-115.7631,"320070005","Elko","Nevada Division of Environmental Protection",40.838329,-115.766003
"Ellensburg","WA","wa025",46.9936,-120.545,"530370002","Ellensburg-Ruby St","Washington Department of Ecology",46.9936,-120.545
"Eloy","AZ","az019",32.7576,-111.5549,"040213014","Eloy","Pinal County Air Quality Control District",32.757639,-111.554861
"Embassy Kathmandu","  ","ds016",27.7387,85.3362,"KM1010001","Embassy Kathmandu","U.S. Department of State Nepal - Kathmandu",27.738703,85.336206
"Emmetsburg","IA","ia007",43.112,-94.679,"191471002","Emmetsburg, ILCC","Iowa DNR",43.123299,-94.693298
"Enoch","UT","ut013",37.7432,-113.0549,"490210005","Enoch","Utah Department of Environmental Quality",37.747445,-113.055524
"Enterprise","OR","or019",45.4264,-117.2961,"410630001","Enterprise - US Forest Service","Oregon Dept. of Environmental Quality",45.426351,-117.296066
"Erie","PA","pa007",42.1292,-80.0851,"420490003","Erie","Pennsylvania Dept. of Environmental Protection",42.1428,-80.0372
"Estacada","OR","or045",45.29,-122.33,"840410050011","Estacada Clackamas River Elementary School","Oregon Dept. of Environmental Quality",45.291413,-122.332626
"Eugene and Springfield","OR","or002",44.0264,-123.0822,"410390060","Eugene - Amazon Park","Lane Regional Air Protection Agency",44.0263,-123.08377
"Eugene and Springfield","OR","or002",44.0264,-123.0822,"410390059","Eugene - Highway 99","Lane Regional Air Protection Agency",44.067223,-123.14135
"Eugene and Springfield","OR","or002",44.0264,-123.0822,"840410390101","Eugene - Wilkes Dr.","Lane Regional Air Protection Agency",44.1158,-123.12107
"Eugene and Springfield","OR","or002",44.0264,-123.0822,"410391009","Springfield City Hall","Lane Regional Air Protection Agency",44.046683,-123.017736
"Eureka","CA","ca260",40.8021,-124.1637,"060231004","Jacobs","North Coast Unified Air Quality Management District",40.776943,-124.177498
"Evansville","IN","in001",38.022,-87.569,"181730008","Boonville","Evansville EPA - Vanderburgh County Health Dept.",38.052416,-87.281502
"Evansville","IN","in001",38.022,-87.569,"181730011","Dayville","Evansville EPA - Vanderburgh County Health Dept.",37.954444,-87.321667
"Evansville","IN","in001",38.022,-87.569,"181630021","Evansville-Buena Vista","Evansville EPA - Vanderburgh County Health Dept.",38.01325,-87.577923
"Evansville","IN","in001",38.022,-87.569,"181630013","Inglefield","Evansville EPA - Vanderburgh County Health Dept.",38.113889,-87.536667
"Evansville","IN","in001",38.022,-87.569,"181290003","St. Philips","Evansville EPA - Vanderburgh County Health Dept.",38.006414,-87.718414
"Everett-Marysville-Lynnwood","WA","wa003",48.0551,-122.1758,"530611007","Marysville-7th Ave","Puget Sound Clean Air Agency",48.054315,-122.171529
"Fairbanks","AK","ak002",64.8436,-147.7231,"840020900040","A Street","State of Alaska DEC",64.845931,-147.693278
"Fairbanks","AK","ak002",64.8436,-147.7231,"020900034","NCore","State of Alaska DEC",64.8458,-147.72727
"Fairfield","CA","ca029",38.25,-122.04,"060131002","Bethel Island","San Francisco Bay Area AQMD",38.006311,-121.641918
"Fairfield","CA","ca029",38.25,-122.04,"060950005","Fairfield","San Francisco Bay Area AQMD",38.227066,-122.075624
"Fairfield","CA","ca029",38.25,-122.04,"060950004","Vallejo","San Francisco Bay Area AQMD",38.102507,-122.237976
"Fairhaven","MA","ma007",41.6353,-70.8814,"250051006","Fairhaven2","Massachusetts Dept. of Environmental Protection",41.6454,-70.898
"Fall River","MA","ma016",41.6853,-71.1664,"250051004","Fall River","Massachusetts Dept. of Environmental Protection",41.6833,-71.169701
"Fallon","NV","nv006",39.4725,-118.7836,"320010002","Fallon","Nevada Division of Environmental Protection",39.472471,-118.783624
"Fargo","ND","nd008",46.9336,-96.8547,"380171004","Fargo NW","North Dakota Department of Environmental Quality",46.933601,-96.854698
"Farrar","MO","mo008",37.7026,-89.6986,"291570001","Farrar","Missouri Department of Natural Resources",37.70264,-89.69864
"Fernley","NV","nv005",39.6027,-119.2479,"320190006","Fernley","Nevada Division of Environmental Protection",39.602739,-119.247853
"Flagstaff","AZ","az023",35.2061,-111.6528,"040051008","Flagstaff Middle School","Arizona Department of Environmental Quality",35.206111,-111.652778
"Flathead Valley","MT","mt009",48.3637,-114.1893,"300290049","Columbia Falls","Montana DEQ",48.363694,-114.189272
"Flathead Valley","MT","mt009",48.3637,-114.1893,"300290047","Kalispell Flathead Electric","Montana DEQ",48.200514,-114.305478
"Flathead Valley","MT","mt009",48.3637,-114.1893,"300290009","White Fish Dead End","Montana DEQ",48.400523,-114.335973
"Flint","MI","mi004",43.0146,-83.6959,"260490021","FLINT","Michigan Department of Environment, Great Lakes, and Energy",43.0289,-83.669403
"Flint","MI","mi004",43.0146,-83.6959,"260492001","OTISVILLE","Michigan Department of Environment, Great Lakes, and Energy",43.1683,-83.4617
"Florence","OR","or041",43.9896,-124.1093,"840410390100","Florence-Department of Forestry","Lane Regional Air Protection Agency",43.989643,-124.109312
"Florence and Darlington","SC","sc004",34.18,-79.72,"450250001","Chesterfield","South Carolina DHEC",34.615299,-80.198898
"Florence and Darlington","SC","sc004",34.18,-79.72,"450310003","Pee Dee","South Carolina DHEC",34.285599,-79.744698
"Florence and Darlington","SC","sc004",34.18,-79.72,"450410003","Williams Middle School","South Carolina DHEC",34.2143,-79.7673
"Folsom","CA","ca119",38.6767,-121.1461,"060670012","Folsom","Sacramento Metro. AQMD",38.683304,-121.164457
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"371570099","BETHANY","Forsyth County Office of Environmental Assistance and Protection",36.308889,-79.859167
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"370330001","CHERRYGR","Forsyth County Office of Environmental Assistance and Protection",36.307033,-79.467417
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"370670030","Clemmons Middle","Forsyth County Office of Environmental Assistance and Protection",36.025981,-80.34225
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"370670022","Hattie Avenue","Forsyth County Office of Environmental Assistance and Protection",36.110933,-80.224411
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"370570002","LWATTOWR","Forsyth County Office of Environmental Assistance and Protection",35.8145,-80.2627
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"370810013","MENDNHAL","Forsyth County Office of Environmental Assistance and Protection",36.109006,-79.802314
"Forsyth County-Winston-Salem-Greensboro-High Point","NC","nc005",36.051,-80.144,"370671008","Union Cross","Forsyth County Office of Environmental Assistance and Protection",36.0508,-80.143898
"Fort Bragg","CA","ca257",39.4373,-123.7877,"060450010","Fort Bragg High School","Mendocino County AQMD",39.43734,-123.78766
"Fort Bragg","CA","ca257",39.4373,-123.7877,"060450008","Ukiah District Office","Mendocino County AQMD",39.145733,-123.202995
"Fort Collins","CO","co003",40.4988,-105.034,"080691004","Fort Collins - CSU - 708 S. Mason St.","Colorado Department of Public Health and Environment",40.5764,-105.0794
"Fort Collins","CO","co003",40.4988,-105.034,"080690011","Fort Collins - West - Laporte Ave. & Overland Tr.","Colorado Department of Public Health and Environment",40.59254,-105.1411
"Fort Collins","CO","co003",40.4988,-105.034,"080690009","Ft. Collins - CSU Facilities","Colorado Department of Public Health and Environment",40.571259,-105.079765
"Fort Myers","FL","fl014",26.6317,-81.8572,"120712002","Rotary Park","Florida Dept. of Environmental Protection",26.5475,-81.9797
"Fort Pierce","FL","fl015",27.4389,-80.3356,"121110013","Savannahs","Florida Dept. of Environmental Protection",27.38908,-80.311035
"Fort Pierce","FL","fl015",27.4389,-80.3356,"120850007","Stuart","Florida Dept. of Environmental Protection",27.172459,-80.240692
"Fort Wayne","IN","in002",41.095,-85.1,"181830003","Larwill","Indiana Dept. of Environmental Management 2",41.169722,-85.629444
"Fort Wayne","IN","in002",41.095,-85.1,"180030002","Leo HS","Indiana Dept. of Environmental Management 2",41.221418,-85.016821
"Fort Wayne","IN","in002",41.095,-85.1,"181699991","Salamonie Reservoir","Indiana Dept. of Environmental Management 2",40.816,-85.6611
"Four Corners Area","CO","co009",37.299,-108.637,"080830006","Cortez Ozone","Colorado Department of Public Health and Environment",37.34997,-108.58737
"Four Corners Area","CO","co009",37.299,-108.637,"080830101","Mesa Verde NP","Colorado Department of Public Health and Environment",37.1983,-108.4903
"Four Corners Area","CO","co009",37.299,-108.637,"840080838001","Towaoc","Colorado Department of Public Health and Environment",37.200056,-108.733111
"Franklin County","ID","id010",42.0133,-111.8092,"840160410002","Preston PM25 BAM","Idaho Department of Environmental Quality",42.082222,-111.864167
"Fredericksburg","VA","va008",38.3,-77.46,"510330001","CORBIN","Virginia Dept. of Environmental Quality",38.20087,-77.37742
"Fredericksburg","VA","va008",38.3,-77.46,"510610002","SUMERDUCK","Virginia Dept. of Environmental Quality",38.47367,-77.76772
"Fredericksburg","VA","va008",38.3,-77.46,"511790001","WIDEWATER","Virginia Dept. of Environmental Quality",38.48123,-77.3704
"Fremont","CA","ca031",37.55,-122.03,"060012001","Hayward","San Francisco Bay Area AQMD",37.6547,-122.0317
"Fremont","CA","ca031",37.55,-122.03,"060811001","Redwood City","San Francisco Bay Area AQMD",37.4828,-122.2022
"Fresno","CA","ca032",36.7806,-119.7929,"060195001","Clovis - N. Villa Ave","San Joaquin Valley Unified APCD",36.819199,-119.7164
"Fresno","CA","ca032",36.7806,-119.7929,"060190007","Fresno - Drummond Street","San Joaquin Valley Unified APCD",36.7056,-119.7414
"Fresno","CA","ca032",36.7806,-119.7929,"060190011","Fresno - Garland","San Joaquin Valley Unified APCD",36.78538,-119.77321
"Fresno","CA","ca032",36.7806,-119.7929,"060190242","Fresno - Sierra Skypark #2","San Joaquin Valley Unified APCD",36.8414,-119.8744
"Gadsden","AL","al005",34.0129,-86.0254,"010550010","GADSDEN","Alabama Department of Environmental Management",33.991341,-85.992653
"Gainesville","GA","ga010",34.2993,-83.8134,"130590002","Athens","Georgia Department of Natural Resources",33.925,-83.3575
"Gainesville","GA","ga010",34.2993,-83.8134,"131390003","Gainesville","Georgia Department of Natural Resources",34.3003,-83.8139
"Gainesville","FL","fl020",29.6519,-82.325,"840120013012","Paynes Prairie Farm","Florida Dept. of Environmental Protection",29.56615,-82.266066
"Garden Valley","ID","id027",44.1047,-115.9731,"160150002","Garden Valley","Idaho Department of Environmental Quality",44.104498,-115.972386
"Gardnerville","NV","nv007",38.8976,-119.7321,"320050007","Ranchos","Nevada Division of Environmental Protection",38.897611,-119.732101
"Gaviota Coast","CA","ca209",34.4897,-120.0469,"060831025","Las Flores Canyon","Santa Barbara County Air Pollution Control District",34.4897,-120.0458
"Gila River Indian Community","AZ","az017",33.0695,-111.7601,"040217004","CasaBlanca","Gila River Indian Community DEQ Air Quality Program",33.11753,-111.88491
"Gila River Indian Community","AZ","az017",33.0695,-111.7601,"040217001","Sacaton","Gila River Indian Community DEQ Air Quality Program",33.080003,-111.739298
"Gila River Indian Community","AZ","az017",33.0695,-111.7601,"040137003","StJohns","Gila River Indian Community DEQ Air Quality Program",33.29015,-112.159874
"Giles Co.","VA","va013",37.33,-80.74,"840510719992","Blue Grass Trail","Virginia Dept. of Environmental Quality",37.3232,-80.4572
"Gillette","WY","wy003",44.29,-105.5,"840560051002","Gillette SLAMS","Wyoming Department of Environmental Quality",44.288005,-105.517022
"Gillette","WY","wy003",44.29,-105.5,"560050123","Thunder Basin","Wyoming Department of Environmental Quality",44.6633,-105.287498
"Glacier National Park","MT","mt018",48.51,-113.99,"300298001","Glacier NP","National Park Service",48.5103,-113.9956
"Goleta","CA","ca212",34.4453,-119.8277,"060832011","Goleta","Santa Barbara County Air Pollution Control District",34.445301,-119.827797
"Graham County","NC","nc046",35.3501,-83.833,"371730002","BRYSON","North Carolina DEQ - Division of Air Quality",35.434767,-83.442133
"Graham County","NC","nc046",35.3501,-83.833,"370750001","JOANBOLD","North Carolina DEQ - Division of Air Quality",35.2578,-83.7955
"Grand Canyon National Park","AZ","az014",36.055,-112.1531,"040058001","Grand Canyon NP","National Park Service",36.055,-112.1531
"Grand Island","NE","ne003",40.9183,-98.3789,"840310790005","Grand Island DOT","Nebraska Department of Environment and Energy",40.918333,-98.378889
"Grand Junction","CO","co006",39.0666,-108.5625,"080770017","Grand Junction - Powell Building","Colorado Department of Public Health and Environment",39.063599,-108.561096
"Grand Junction","CO","co006",39.0666,-108.5625,"080770020","Palisade Ozone","Colorado Department of Public Health and Environment",39.1306,-108.3139
"Grand Rapids","MI","mi002",42.833,-85.517,"260810022","EVANS","Michigan Department of Environment, Great Lakes, and Energy",43.176701,-85.416702
"Grand Rapids","MI","mi002",42.833,-85.517,"260810020","GRAND RAPIDS","Michigan Department of Environment, Great Lakes, and Energy",42.984699,-85.671097
"Grand Rapids","MI","mi002",42.833,-85.517,"260050003","HOLLAND","Michigan Department of Environment, Great Lakes, and Energy",42.767799,-86.148598
"Grand Rapids","MI","mi002",42.833,-85.517,"261390005","JENISON","Michigan Department of Environment, Great Lakes, and Energy",42.894402,-85.852798
"Grand Rapids","MI","mi002",42.833,-85.517,"261210039","MUSKEGON","Michigan Department of Environment, Great Lakes, and Energy",43.2781,-86.3111
"Grangeville","ID","id023",45.9274,-116.1059,"160490002","Grangeville","Idaho Department of Environmental Quality",45.931301,-116.115196
"Grant County","WI","wi012",42.693,-90.9681,"550430009","Potosi","Wisconsin Dept. of Natural Resources",42.692131,-90.696373
"Grants Pass","OR","or009",42.434,-123.348,"410330114","Grants Pass - Parkside School","Oregon Dept. of Environmental Quality",42.434149,-123.348466
